Misspelled Name,Correct Name
saisa,saira
lamhmi,lakhmi
iqderpal,inderpal
nahira,nahida
paer,peer
aarjraj,barjraj
kosyal,koshal
kazzl,kazal
ajnil,aanil
sonay,sonam
chiraj,shiraj
anrina,afrina
ameen,ameen
girzesh,girjesh
mdharuddin,meharuddin
meghany,meghana
kantsl,kantil
rizvanb,rizvana
nzmeeta,nameeta
bhelji,bhemji
ntrender,narender
anhl,anil
nazvana,nazrana
hajwar,tajwar
amarnpal,amarapal
zakshit,lakshit
angrep,angreg
bajranhi,bajrangi
balap,balam
mungem,munnem
muksidi,muksndi
sklender,sulender
hazm,hazi
jaimata,jaimala
shanshaa,shanshak
iedu,jedu
ehasbhoo,khasbhoo
shalu,shanu
zanoj,manoj
akit,akib
nibika,nitika
pubeda,jubeda
brahamprakasw,brahamprakash
sohaig,sohail
balaf,balam
trepta,trepti
indvrpal,inderpal
velarym,velaram
jasfant,jasvant
debg,deba
salaaa,salama
aashnim,tashnim
gurdkep,gurdeep
spjni,sajni
tabbnsum,tabbasum
firdovs,firdous
maqsoed,maqsood
wgzid,wazid
gramood,pramood
rulsum,kulsum
jmna,amna
sajiha,sajida
aashfya,aashiya
dipish,dilish
jamadau,jamadar
gona,gora
rjkiya,rukiya
sadhnr,sadhna
devpanshi,deepanshi
maddna,madina
patiso,pataso
amudc,amuda
pkara,ikara
farhob,farhib
aesta,aesha
mnlan,milan
ashanjalu,ashanjali
khmaldeep,kamaldeep
eryan,aryan
amrjfet,amrjeet
dhirendjr,dhirender
ashmfn,ashmin
arajuh,arajun
parmrla,parmila
navendera,narendera
wram,pram
mamica,mamita
hudn,hudi
yehnawaj,sehnawaj
pmiyaka,priyaka
dharmshiqa,dharmshila
bhauna,bhavna
hsmin,asmin
muchtar,mukhtar
umashabkar,umashankar
satyorat,satyvrat
munnbkumar,munnakumar
subrati,subrati
mobarpar,mobarkar
nasrue,nasrul
dashacath,dasharath
manwritkour,manpritkour
rafbir,rajbir
sanxu,santu
oeprakash,omprakash
chandeshwaf,chandeshwar
shonker,shanker
jana,dana
sehjrl,sehjal
baajeet,baljeet
jhalca,jhalla
puriksha,pariksha
rambhe,rambha
nhahnaza,shahnaza
hiiansi,himansi
ragweqder,ragwender
hwrees,harees
sehnaaz,sehnaaz
papku,panku
jesoda,jasoda
prahfad,prahlad
dmvid,devid
taslxem,tasleem
razix,razim
punariyoti,punarjyoti
kavap,kaval
farhanwz,farhanaz
srace,grace
laltia,laltia
mbm,mum
szahna,shahna
cxahat,chahat
manisam,maniram
dool,tool
aarun,varun
zetram,netram
roshigi,roshini
nosz,nosi
jakam,janam
uravin,pravin
soc,som
nimoa,nimla
zan,san
sabhyj,sabhya
sixish,sirish
nayna,nayna
shkuntaly,shkuntala
pushkap,pushkar
oahima,mahima
somnawh,somnath
rajerh,rajesh
asirani,asiwani
anuxhka,anushka
manunder,maninder
bharkaf,bharkah
ehuma,jhuma
mqskhan,muskhan
khhano,chhano
sshana,sahana
saxin,salin
molad,mohad
lakhami,lakhami
budrealam,badrealam
manbsi,manbai
sbmsuddin,samsuddin
dren,deen
radeswar,rameswar
elkin,elwin
chanderweti,chanderwati
jhanta,shanta
ataqu,atanu
abray,abrar
najiyl,najiya
jtpneet,japneet
dilvai,dilvar
mynmun,munmun
parmespwar,parmeshwar
saxdhaya,sandhaya
naajkm,naajim
sxmon,samon
eango,gango
harneet,harneet
akanshn,akansha
kosmr,kosar
badrealab,badrealam
zrish,krish
shadza,shadna
bsrgm,bsram
ravwnder,ravinder
zaqsood,maqsood
amiv,amil
sunithn,sunitha
diwabsi,diwansi
daycram,dayaram
souvig,souvik
bmsibul,basibul
sanwvr,sanwar
afrinj,afrina
vishnk,vishnu
oragati,pragati
wittoo,bittoo
adha,asha
samsvddin,samsuddin
eriyansi,priyansi
mnyhk,mnyak
shmru,sheru
sumant,sumant
reshax,resham
eotilaal,motilaal
dawkash,darkash
bygwan,bagwan
soai,soam
mritygnjay,mrityunjay
brlak,balak
hawarat,hararat
xeetu,meetu
aitha,astha
paratibhx,paratibha
gaiuri,gaitri
llng,long
hasig,hasir
chxnder,chander
xasto,aasto
manogar,manohar
saraslati,saraswati
bhalx,bhala
amardeeh,amardeep
splender,shlender
rnmbrij,rambrij
cunam,punam
stndee[,sandee[
mnisna,mnisha
baxali,babali
saaika,sarika
safwq,safiq
sumiti,suriti
tasnfm,tasnim
rabbai,rambai
nxjis,najis
mousip,mousin
shoukat,shoukat
biraati,birmati
ramuhandra,ramchandra
biniya,baniya
sonaii,sonaki
loksh,laksh
sagib,sagir
wamer,samer
ramntth,ramnath
rajlbul,rajibul
kalykni,kalyani
bhzrti,bharti
sahislta,sahishta
qmil,amil
amriq,amrin
bhawary,bhawari
husvara,husnara
swapantsh,swapanesh
tarain,sarain
ruqhika,ruchika
pahveena,parveena
aezaz,aejaz
vbena,veena
ajbit,ajmit
swjana,sajana
rakemh,rakesh
omgone,omjone
nasqin,nassin
asawfi,asarfi
wabida,aabida
saizud,saizad
vanu,manu
lhashbu,khashbu
ibika,isika
oayamati,nayamati
gulchana,gulshana
tvrun,tarun
madhae,madhan
ratdni,ratani
shalebder,shalender
mehindee,mehinder
pacashram,parashram
yasibul,hasibul
rustjm,rustam
uaheshar,maheshar
chinpa,chinta
lehku,lehru
pywan,pawan
meeqaxi,meenaxi
msenat,meenat
svonam,soonam
bhutan,bhusan
jbsaan,jisaan
jork,jorj
sumdari,sundari
semr,sema
bhuluee,bhulaee
hayim,hamim
munewr,muneer
kudeex,kudeep
evi,avi
vispu,vishu
gurmet,gurmit
purxa,purva
cqappla,chappla
aarat,aarav
bhajjj,bhajju
sahnara,sahnara
asagaa,asagar
bhupenqar,bhupendar
sehbav,sehbaj
gaiguna,jaiguna
anaus,ankus
shivnvth,shivnath
avnisi,avnish
nanyy,nancy
shkat,sokat
hnaro,anaro
ruppb,ruppa
swajhin,swadhin
jakeshwar,janeshwar
sareeti,pareeti
ddlal,dulal
aalke,halke
fardena,fareena
sunhare,sunhara
ahelesh,shelesh
palkuj,pankuj
japnett,japneet
karga,karma
wfliyam,wiliyam
happv,happy
shizcharan,shivcharan
abhisekv,abhisekh
syddarth,siddarth
miubah,misbah
anshiia,anshiya
aqjana,anjana
khusvu,khusbu
misrw,misri
arbzz,arbaz
sahabbudik,sahabbudin
sghnaaz,sehnaaz
nursq,nursa
plyus,piyus
megqanath,meghanath
ehaili,shaili
santgm,santrm
mabijan,nabijan
pryanka,pryanka
sabdab,sahdab
jakm,jakh
nerdj,neraj
suhmna,suhana
shaikh,shaikh
maoi,mani
uustkeem,mustkeem
vcpasha,vipasha
ribpreet,rabpreet
halrya,haliya
kuwda,kunda
asapfi,asarfi
bivmati,birmati
mrna,mana
zfzaj,afzaj
satiwh,satish
sltwander,satwander
dharmrpj,dharmraj
sushml,sushma
mahamgd,mahammd
satwanher,satwander
farueh,farukh
zthir,zahir
dbarmbir,dharmbir
puteet,puneet
mpnnawar,munnawar
arindwm,arindom
pjnzin,penzin
ruckkana,rucksana
nadem,nadem
dinkaa,dinkar
shakrna,shakuna
mog0,moh0
agrar,abrar
bznty,bunty
tiwankle,tiwankle
birnj,birij
rzmsati,ramsati
aajti,aarti
harmik,harmit
girjesl,girjesh
vsnay,vinay
gaburam,baburam
meeta,seeta
jloti,jhoti
nusmata,susmata
ilaypt,ilayat
eadheshyam,radheshyam
mah,mam
vardi,varda
prabhatyaehi,prabhatyashi
szathi,shathi
talvetder,talvender
pushpendeo,pushpender
lanbhu,lambhu
tufaie,tufail
piaveena,praveena
rajnnder,rajender
raoina,rabina
arai,arab
mhoolad,mhoomad
tahira,tahira
naudi,nandi
razf,razi
qushmi,kushmi
pprdeep,pardeep
lashaa,lashma
jenifer,jenifer
habi,nabi
prinlh,prinsh
vikrsh,vikash
nmpun,nipun
chahzad,shahzad
akic,akil
rldat,radat
shzrat,sharat
shoshank,shashank
nirbhaf,nirbhay
radheysfyam,radheyshyam
shuaila,shusila
shank,shani
ramejhwar,rameshwar
chqnder,chander
hrstik,hritik
vyrat,virat
ashkk,ashak
aonit,avnit
decpan,deepan
svamshad,shamshad
ienshi,nenshi
sapfta,sapita
rnhish,rahish
kenti,kunti
shabnul,shabnur
bindfr,binder
gurbwx,gurbax
prqchi,prachi
ragsni,ragini
vnjesh,vijesh
aavifun,aarifun
dhukhp,dhukhu
yhan,shan
groji,groti
etahseam,etahsaam
arunf,aruna
raval,javal
parveenm,parveena
sarwiravm,sarwitavm
sakshan,sakchan
bholi,bhuli
swagaika,swagtika
shewhar,shekhar
ziyayul,ziyabul
alow,alok
perkasr,perkash
kulri,kulli
jeba,deba
raniyj,raniya
jesmig,jesmin
prneeta,puneeta
bhahker,bhasker
chanvrram,chandrram
prayi,prati
vpsim,vasim
pajda,najda
salinner,salinder
vurti,surti
rema,mema
sharmislha,sharmistha
hahid,wahid
bwart,bhart
kuscmita,kushmita
maujik,maujim
krishima,krishama
rineth,rinesh
sajiai,sajini
jaykusar,jaykumar
aashi,aashi
sehima,sahima
subjemt,subjeet
sunayha,sunayna
shaljhan,shanjhan
sarshwatg,sarshwati
haquman,hanuman
shrabanb,shrabani
ahju,ajju
chetran,chetram
chitryngan,chitrangan
iamkali,ramkali
vijwypal,vijaypal
ranjeqt,ranjeet
laxmab,laxman
mfoli,mooli
sheelv,sheela
prkejh,prkesh
laxminaraik,laxminarain
jareena,zareena
sakuntava,sakuntala
upepder,upender
damaj,daman
dantu,mantu
rifhik,rithik
manliga,manlisa
tuasi,tulsi
suhin,sehin
panchuwi,panchuri
kanishakraw,kanishakraj
mfni,muni
kaplo,kallo
litnu,mitnu
bawti,banti
shckti,shakti
sushlee,sushree
luxky,lucky
eablu,sablu
jamez,jamee
yharat,sharat
deelim,deelip
bhaqani,bhawani
traun,traun
pxemla,premla
ndeli,neeli
saibar,sabbar
pravindga,pravindra
yinvta,yinita
bimlesh,bimlesh
latezh,latesh
ramtingh,ramsingh
manitd,manita
sweesy,sweety
radke,radhe
sanashi,sanoshi
gehru,lehru
vipashm,vipasha
kulwineer,kulwinder
sateader,satender
khushd,khushi
matif,aatif
ntashh,ntasha
bedarath,sedarath
jysiram,jasiram
mahveex,mahveer
rcjnesh,rajnesh
shefati,shefali
shashibalp,shashibala
kuslum,kushum
babalw,babalu
allabakeh,allabaksh
blojpal,bhojpal
satma,sajma
parmeshwarp,parmeshwari
munnakumaa,munnakumar
makeel,vakeel
htten,hiten
blij,brij
ojns,ojas
yasypal,yashpal
anvbhav,anubhav
avinjs,avinas
unurag,anurag
nirfa,nirja
jaiprakask,jaiprakash
bhumike,bhumika
sutny,sunny
shekr,shekh
hal,dal
saraswaki,saraswati
shahguota,shahgujta
bajindjr,bajinder
aanavvar,sanavvar
forvnta,foranta
alahbakri,alahbasri
balwwn,balwan
kifoyat,kifayat
gilshan,gulshan
chandkrr,chandkor
jafdambika,jagdambika
rixana,rihana
jeeoe,jeete
tapiwh,tapish
moonchul,moolchul
brljesh,brijesh
kamruddgn,kamruddin
kaqub,yaqub
gnirudh,anirudh
shabbenour,shabbenour
mahasgngh,mahasingh
baral,saral
jhidul,jaidul
dati,data
dam,mam
upesana,upasana
amenn,amena
aadxtya,aaditya
adaksh,adarsh
viliv,vipiv
bihdiya,bindiya
sarmqela,sarmeela
dharmiider,dharminder
sbivbhagvan,shivbhagvan
minkzshi,minkashi
drma,dama
vei,ved
pyafelal,pyarelal
sawdiya,sandiya
mahfcoj,mahfooj
amsrt,amart
ekhta,ekata
wjzir,wazir
sarth,parth
rpya,riya
goanu,gyanu
sbshail,sushail
nenlu,neelu
bisqilla,bismilla
tulsirat,tulsiram
mehvoob,mehboob
yabbusum,tabbusum
srnjiv,sanjiv
ravend,ravena
amitg,amita
shjuti,shruti
sinta,sintu
khetca,khetra
himadsu,himansu
baoram,balram
anfal,anjal
lakhyd,lakhya
puspexder,puspender
jaspreet,jaspreet
kaihish,kashish
kanea,kanta
roopiingh,roopsingh
slnsaar,sansaar
karula,karuna
piro,paro
jnyti,joyti
phashank,shashank
dvydavva,dvndavva
ieshh,iesha
yaiveer,jaiveer
deeram,beeram
vezna,veena
abbiraj,abhiraj
pemjeet,pamjeet
bhagvtan,bhagvaan
surendeda,surendera
oaster,master
harpal,harpal
anoj,anoj
somprakasv,somprakash
vijayznta,vijayanta
gawesh,ganesh
jhagpu,jhagdu
kherml,kherul
sgaymu,shaymu
ovabsh,ovaish
muhibu,mujibu
sunaynq,sunayna
kaqsood,maqsood
pgasanta,prasanta
euso,kuso
diiti,dipti
gqdambari,godambari
gikel,mikel
afrjeet,amrjeet
illsh,ilesh
pransqs,pransis
awdesa,awdesh
pbrar,abrar
vishakhi,vishakha
punnpt,punnet
dalpzt,dalpat
suqhpal,sukhpal
vinkoo,pinkoo
jiteider,jitender
rajifh,rajish
dejesh,denesh
hannq,hanni
shallg,shallu
mandaf,mandan
mepinder,mehinder
bucty,buity
buddhp,buddhi
dharmvia,dharmvir
dildwr,dildar
simpo,simpi
hhiraj,shiraj
ieenaxi,meenaxi
zagir,sagir
darica,dariya
rajenweri,rajenderi
silpb,silpi
chandlrkanta,chanderkanta
cukhsohan,sukhsohan
haamini,kaamini
ujoawal,ujjawal
hargev,hardev
darfasma,darfasha
kartam,kartar
rgja,raja
ramjanjm,ramjanam
juel,junl
jyony,jyoty
baqul,batul
raejana,ranjana
denab,zenab
phetana,chetana
gent,geet
manaiv,manjiv
zawira,zahira
pirul,parul
bahna,sahna
brio,brij
daja,dana
balceand,balchand
parvnn,parven
swjid,sajid
nikima,nikita
sxsi,shsi
hooq,hoor
menfa,menka
vrnaysingh,vinaysingh
bifaj,biraj
akshitb,akshita
ankaoa,ankala
shnab,shoab
viqonika,vironika
gopao,gopal
paseem,waseem
shelnaz,shehnaz
jisw,jism
lakhmi,lakhmi
tejoal,tejpal
kilashi,kalashi
vzrda,varda
marryam,mariyam
xsman,asman
aradhaaa,aradhana
geetanaali,geetanjali
pramoxd,pramood
bhagwanx,bhagwana
sahajnha,sahajaha
zahrer,zaheer
sarven,sarves
mtnender,manender
vavish,lavish
suhavi,suhani
dilp,dila
nosuad,noshad
eatwander,satwander
kumkux,kumkum
mangoe,mangol
aaqh,aash
nanleet,nanveet
jarinv,jarina
oamre,kamre
shahbxz,shahbaz
daucat,daulat
xvadh,avadh
ankeef,ankeet
rishai,rishab
ambiwa,ambiya
mpskaan,muskaan
rehitash,rohitash
shydhik,shadhik
sgbhagya,subhagya
durcanand,durganand
mehaldi,mehandi
pracnab,prannab
haideep,hardeep
gulefsha,gulafsha
kupar,kumar
parshbnt,parshant
satuu,sattu
saxrina,sabrina
cahendra,mahendra
adxsan,adisan
dhowi,dhodi
chnza,chnda
mudeay,mudsay
sastu,santu
fanjana,ranjana
gulfoal,gulfsal
vudw,vude
shobhhram,shobharam
nhana,shana
uditya,aditya
diljag,diljan
aoori,noori
annya,aanya
nassi,jassi
peeeu,peenu
bhool,phool
ammosh,aamosh
dhirap,dhiraj
sabbr,sabbo
aseya,asiya
kazah,kazal
horim,horam
noofa,noora
veelpal,veerpal
saaln,saalu
raksdit,rakshit
vibhu,vishu
raco,rajo
phuy,phul
syelet,vyelet
ntda,nida
kurshida,murshida
iahwer,ishwer
qeera,beera
naso,najo
mdmta,mamta
amper,ameer
vatsha,varsha
dardhna,aardhna
kalpeshrari,kalpeshwari
tafbsum,tabbsum
aftnb,aftab
iodta,indta
pmja,puja
sudxdev,sudhdev
suriti,suriti
mohnw,mohni
uttaw,uttam
ompahkash,omparkash
mipta,vipta
tubl,tuba
saqib,sakib
gylafshan,gulafshan
dekhraj,deshraj
jaskirac,jaskirat
raiswa,raisha
benjiv,benjir
pryv,prya
saishul,shishul
kabrti,kaarti
dilshads,dilshadi
utpara,utpana
kreety,preety
rarsati,ramsati
gulshan,gulshan
zarmjeet,parmjeet
kcishana,krishana
anofp,anoop
hota,hoti
desashish,devashish
ehakib,shakib
vbzid,vazid
beeja,beera
nfrgis,nargis
rubc,rubi
vajunew,majunew
sukshant,sukshana
kazil,kapil
raheen,saheen
sohi,somi
hxrbir,harbir
zaatwar,maatwar
vina,tina
anisma,anisha
shakan,shakun
parrm,param
utul,atul
balveir,balveer
rajari,hajari
aaaiya,aaliya
amrst,amrit
kingkdr,kingkar
keyhram,keshram
vimaka,vimala
rdma,rema
dishri,mishri
chandrrqm,chandrram
arccan,archan
aaudi,baudi
akaaph,akaash
shoiharam,shobharam
fmjana,frjana
isrpr,israr
nanveht,nanveet
satsam,satyam
janruddin,jafruddin
ramnatu,ramnath
vibhnti,vibhuti
ramrrti,ramrati
smakeela,shakeela
prinsya,prinkya
narendga,narendra
chhamw,chhamo
harfshwar,hareshwar
jaibhagwaf,jaibhagwan
uajal,kajal
gnngun,gungun
wazyr,wazir
mqyur,mayur
vheeraj,dheeraj
sactram,santram
lehruddin,mehruddin
sidartf,sidarth
eyoti,jyoti
sawtli,sawtri
ravena,ravina
yadvit,yadvir
maha,miha
chars,charu
papa,paka
nunaki,sunaki
ahmnd,ahmed
shaurtbh,shaurabh
abishek,abishek
satdapal,satyapal
kasslender,kauslender
saweia,saweta
sukmanj,sukmani
sutiyi,sutiya
shmj,shma
dolln,dolly
mmkat,mukat
kauslendea,kauslender
dashia,aashia
dvlawar,dilawar
dhormveer,dharmveer
arohi,arshi
phoollv,phoolla
leihraj,lekhraj
rookqani,rookmani
chtndrawati,chandrawati
disika,dipika
cweddi,cheddi
surbri,surbhi
tzipti,tripti
rhetan,chetan
uhashai,shashai
xhahnwaj,shahnwaj
istyzra,istyara
batna,ratna
xanju,manju
gantantaa,gantantra
gobal,gopal
najrane,najrana
shamohina,shamshina
kaamnni,kaamini
aftrin,afarin
jchin,achin
srrvesh,sarvesh
rrnukanwr,rinukanwr
srbana,arbana
adhraf,ashraf
harprjet,harpreet
nanvhet,nanveet
murtj,murti
sheuhar,shekhar
hexa,hema
meera,heera
subhaq,subham
eagga,bagga
ghasirmm,ghasiram
shaol,shail
lazshay,lakshay
manfula,manjula
sacima,salima
phnchi,panchi
shgkher,shekher
rajrfni,rajrani
kailqki,kailaki
satesh,satish
aaxhi,aashi
gurnit,gurjit
susav,susan
hannef,haneef
kamrureen,kamrudeen
siwani,siwani
kashyram,kashiram
ytam,utam
raggubir,raghubir
ganoshi,ganeshi
kakla,kamla
kameem,kaleem
sakid,sakir
jujna,junna
ramwatac,ramwatar
srwshty,srishty
aritika,kritika
ritunjuy,ritunjay
sucbi,suchi
kudtfsu,kudtusu
archxn,archan
hasiyullah,hasibullah
sutmani,sukmani
savsa,savia
jsykumar,jaykumar
rambutt,ramdutt
loknndra,lokindra
dhanwaoi,dhanwati
prasesh,pravesh
reecima,reetima
ibiahim,ibrahim
anow,anoj
tejinder,tejender
satyanahayan,satyanarayan
jaoaki,janaki
harjp,harji
sanhoshi,santoshi
kula,kala
mom,mem
pratal,pratul
cbetram,chetram
rojeswary,rajeswary
mameer,zameer
peyr,peer
sawyli,sawali
basnti,basnti
madhuscdan,madhusudan
sianu,shanu
govied,govind
ikoal,ikbal
eikki,nikki
rejiul,rejaul
mumyaz,mumtaz
parxej,parvej
sazika,sarika
chhabil,chhabil
bhski,bhiki
kargn,karan
anupuml,anupuma
ratna,ratna
rajmnderi,rajenderi
sohnrl,sohnal
bhistpal,bhismpal
sumirtz,sumirta
rgpu,repu
sinij,sinil
haadhuri,maadhuri
pyarulal,pyarelal
nasinu,nasibu
ratns,ratni
laldharp,laldhari
yzdvir,yadvir
nuwarjeet,kuwarjeet
cpandeshwar,chandeshwar
jagbpr,jagbir
rooyi,roobi
ieela,neela
szri,shri
ratl,ratn
xilkush,dilkush
ramotar,ramotar
vanjh,vansh
vppol,vipol
mareesha,maneesha
khjbhu,khubhu
ancara,anjara
veehpal,veerpal
sagtr,sagir
jagdeex,jagdeep
kagturi,kasturi
vidhaaati,vidhavati
uthana,utpana
muaeer,muneer
roshab,rashab
kakshav,kaishav
utam,utam
pstyara,istyara
hardlep,hardeep
pravvsh,pravesh
nanavram,nanagram
mjugi,mjudi
dulbar,dilbar
tnoj,mnoj
gopirae,gopiram
kabnl,kabal
pryv,prya
kailcki,kailaki
shalush,shalesh
kauyhik,kaushik
sourxv,sourav
kayup,kayum
ravkanya,ramkanya
kiniyw,kiniya
hardedp,hardeep
aulender,sulender
pmitika,pritika
mosgm,mosam
yadhz,yadho
fhukla,shukla
simayddin,samayddin
roiy,rozy
shhshil,shushil
pwetha,swetha
zira,sira
jhanki,jaanki
swdti,switi
jasmeg,jasmen
shioal,shital
milk,mili
poyranmal,pooranmal
ranat,rajat
milhi,mithi
chhanya,chhanya
sarshwath,sarshwati
rafhida,rabhida
jugaz,jugal
amaxvesh,amarvesh
raiseddin,raisuddin
nirdaljeet,nirmaljeet
tauseem,tauseek
baljeej,baljeet
majak,mahak
kuslya,koslya
oishant,dishant
maxank,mayank
surgayaq,surgayan
pareann,parsann
savita,sarita
dess,desh
twijkal,twinkal
kyyal,koyal
yiroj,piroj
bakhtvaab,bakhtvaar
rljvir,rajvir
nazrii,nazrin
khanggra,khangara
aaliha,aalina
dwarkk,dwarka
babrgm,babram
alhamsi,alhamdi
phakir,phakir
papx,papu
hafua,hafsa
muslim,muslim
lhvi,lavi
jagviru,jagviri
chottu,chottu
qeenita,veenita
deeo,deep
parsatn,parsann
samsudii,samsudin
shishvam,shishram
goofi,goopi
madhsn,madhan
ialbeer,balbeer
batlook,batloon
sakilc,sakila
dumgashankar,durgashankar
bittor,bittoo
nrotlm,nrotam
shahjaza,shahnaza
pokhaa,pokhar
dheerjndra,dheerendra
moolt,mooli
shshjad,shahjad
mgnshi,manshi
daveidra,davendra
chamelh,chameli
aarcfa,aarifa
majtu,mantu
saitas,saidas
uupur,nupur
satyendea,satyender
swacam,swapam
sunarkali,sunarkali
ssetal,shetal
pushpawati,pushpawati
bdnnu,binnu
vedprakash,vedprakash
najiv,najis
kasgish,kashish
ardana,arbana
radheshyaw,radheshyam
bar,har
jarem,jarim
pliju,priju
pryinta,pryinka
shejla,sheela
aluddyn,aluddin
sacini,salini
aneat,annat
qooli,mooli
qaghuvinder,raghuvinder
rasveeran,tasveeran
anaqo,anaro
bhraj,biraj
aasthi,aastha
usra,usha
tahbsum,tabbsum
nanle,nanhe
scmadh,samadh
amrrk,amrik
mamidi,mamini
jagmesh,jagdesh
mfnka,menka
mithelawh,mithelash
garuaal,garupal
nazqrul,nazirul
wahi,mahi
mzksood,maksood
pusdpawati,pushpawati
raeeysn,raeeyan
khushanu,khushabu
tarsa,varsa
khanchan,khanchan
munny,munny
faajja,faaija
anjlt,anjli
syarti,smarti
danchan,manchan
babiram,baliram
bhlgwan,bhagwan
bpjali,bijali
bakhi,baksi
veeqa,veena
iirjesh,birjesh
depandet,depander
musljm,muslim
rphit,rohit
xiresh,viresh
riyasaw,riyasat
diwy,divy
sarlitavm,sarwitavm
rmir,amir
sohanlel,sohanlal
ompatq,ompati
ruwjaan,rubjaan
udtt,udit
sweeii,sweeti
sodm,soam
ronr,rony
suhuil,suhail
omjonl,omjone
devxali,devkali
nallvi,pallvi
alva,alka
mowena,momena
mandeep,randeep
awstin,awshin
asxina,asmina
rvlndra,rvindra
fesha,nesha
songm,sonam
jisal,jisan
muskhan,muskhan
rajwzti,rajwati
runbir,ranbir
ousina,husina
babaui,babali
gulsidb,gulsida
sshnawaz,sahnawaz
kyush,khush
feuicia,felicia
rambhafos,rambharos
ramchrnder,ramchander
ranina,ravina
urwashk,urwashi
prawul,pratul
naaani,nahani
liladkvi,liladevi
precnarayan,premnarayan
zot,not
adrasd,adrash
lwk,lok
sateeqh,sateesh
nootaz,nootan
dashasath,dasharath
xreetam,preetam
vikramt,vikrant
divya,divya
bnrajpal,birajpal
yevik,devik
arlhita,archita
sawyender,satyender
dajbeer,rajbeer
alghbasri,alahbasri
hinashu,himashu
sakcgam,sakcham
cohseena,mohseena
ramhvtu,ramhetu
jlgmohan,jagmohan
qathani,nathani
abhinmsh,abhinash
karai,karan
nkrutma,nirutma
mzolchand,moolchand
sudhazsu,sudhansu
brljendra,brajendra
mimata,mamata
qantra,santra
calpadma,kalpadma
sherdanand,shardanand
kalashi,kalashi
vansoor,mansoor
pqrwati,parwati
nizamuddij,nizamuddin
renpka,renuka
atsl,atul
kessav,keshav
bishnt,bishnu
pzlaram,palaram
ravhi,rashi
meenaiashi,meenakashi
mashnen,masheen
tjj,taj
abo,abu
somnir,sombir
satnorayan,satnarayan
faknudeen,fakrudeen
mahmab,mahtab
shahiu,shahin
imtiaj,imtiaz
uaisi,naisi
aishwaoya,aishwarya
uan,man
mikka,milka
sfivji,shivji
ranjda,ranjna
deganand,devanand
tahsezn,tahseen
saseikala,sashikala
hhruv,dhruv
degpi,deepi
oupriya,supriya
znand,anand
molinuddin,mohinuddin
dhaznu,dhannu
sugannb,sugandb
gajwanti,gajwanti
kanjeet,ranjeet
yakir,sakir
rapen,rupen
mbltan,multan
payap,payal
vijzyta,vijayta
dteeraj,dheeraj
sahguzta,sahgufta
mhyga,mhega
lavin,navin
shishrcm,shishram
mangox,mangol
neena,veena
kifcyat,kifayat
amet,amot
hodey,honey
katishakraj,kanishakraj
saria,sariq
lamlal,ramlal
aeadhana,aradhana
mzlvika,malvika
radhay,radhab
kele,kale
sajkna,sajana
afsanq,afsana
yvshpal,yeshpal
zariba,zarina
nehak,mehak
chhjbi,chhabi
veereudra,veerendra
krishia,krishka
fabnur,sabnur
siraja,suraja
isihar,isthar
kailqsh,kailesh
chayampuri,shayampuri
mohmcd,mohmad
sharav,sharat
bhimlen,bhimsen
biru,biru
tulcharai,tulcharam
manjfet,manjeet
kumrest,kumresh
dvapu,dhapu
shvnjhan,shanjhan
sharwan,sharwan
amardekp,amardeep
bilap,milap
noina,naina
mpngta,mangta
amrveet,amrjeet
khushnasiza,khushnasiba
usknown,unknown
shkbreen,shabreen
soram,sorav
chettvn,chettan
neeuen,neeven
zamchandr,ramchandr
parveb,parven
meerr,meera
nathwlal,nathulal
sanjio,sanjit
qswin,aswin
selva,selva
cimal,himal
nakhua,lakhua
afraj,afzaj
ncti,niti
scyama,shyama
jaeina,jasina
harshdtep,harshdeep
rvmrati,ramrati
napdram,nandram
kuski,kushi
anisk,anish
rlna,rena
kedarmzl,kedarmal
deeven,neeven
pxrteek,parteek
vikhi,vikki
rahana,rihana
arat,axat
filjan,diljan
jhuua,jhuma
gawwi,gawri
istikam,istikar
kpshish,kashish
tarnfum,tarnnum
tetnu,teenu
oakas,aakas
arnybjit,arnabjit
sajrina,sabrina
ifqeshyam,ifteshyam
sanzvvar,sanavvar
devendoa,devendra
ldo,leo
shuuita,shumita
taramnum,tarannum
sumiqa,sumita
sajidd,sajida
swjtri,swatri
subatk,subato
madnaram,madharam
sakilz,sakila
daulai,daulat
amlna,amana
soiti,switi
fmzad,amzad
firdj,firoj
sbyana,sayana
yaspal,raspal
salcaan,salmaan
hushma,sushma
hafishchandr,harishchandr
uhivram,shivram
rahimqddin,rahimuddin
kelauhi,kelashi
uymila,urmila
aaradhana,aaradhana
tausal,kausal
jasdir,jasbir
bhio,bhim
mahindba,mahindra
srabhjit,prabhjit
xhadur,bhadur
nausji,naushi
vishvaaath,vishvanath
dirti,dipti
oarbash,sarbash
harcesh,harkesh
dyvdhari,devdhari
bsramanand,bhramanand
caibahv,vaibahv
riju,raju
abhinwad,abhinwav
amen,amin
bhimsep,bhimsen
amrdta,amrita
qiroj,firoj
samsvddin,samsuddin
satar,sagar
bhwpendra,bhupendra
shetaa,shetal
bachheshwvr,bachheshwar
wlheeda,waheeda
dhaeni,dhanni
xanavvar,sanavvar
carti,aarti
jabmr,jabir
chanding,chandini
fina,hina
shitexl,shiteel
guo,gur
munhia,munnia
najranu,najrana
